ticker,permno,first_year,last_year,rows
10931,10931,1993,1995,703
10932,10932,1993,2020,7041
10933,10933,1993,2020,7032
10935,10935,1993,2005,2963
10937,10937,1993,2006,1024
10941,10941,1993,1995,753
10942,10942,1993,2013,3886
10950,10950,1993,1994,113
10952,10952,1993,2020,5472
10957,10957,1993,1997,1132
10959,10959,1993,1995,557
10961,10961,1993,2002,2316
10963,10963,1993,2000,1981
10964,10964,1993,1993,61
10965,10965,1993,1995,545
10966,10966,1993,2020,4133
10967,10967,1993,1996,780
10968,10968,1993,1993,20
10969,10969,1993,1996,584
10972,10972,1993,2004,1296
10974,10974,1993,2008,2547
10976,10976,1993,1993,115
10977,10977,1993,2004,2233
10978,10978,1993,1998,1410
10981,10981,1993,1994,325
10983,10983,1993,1995,545
10984,10984,1993,2006,2781
10986,10986,1993,1995,602
10987,10987,1996,2002,1495
10989,10989,1993,2000,1959
10991,10991,1993,1993,12
10992,10992,1993,1993,25
10993,10993,1993,1994,347
10994,10994,1993,2009,4160
10995,10995,1993,1994,333
10998,10998,1993,1996,980
10999,10999,1993,2004,2865
11000,11000,1993,1998,1453
11001,11001,1993,1996,795
11003,11003,2010,2018,2024
11004,11004,1993,1995,595
11005,11005,1993,2002,1700
11006,11006,1993,2020,5549
11010,11010,1993,1993,102
11011,11011,1993,1994,186
11012,11012,1993,2002,1449
11014,11014,1993,1996,855
11018,11018,1993,2020,7049
11019,11019,1993,1993,201
11020,11020,1993,1999,1730
11022,11022,1993,1994,425
11028,11028,1993,1997,1209
11031,11031,1993,1996,547
11035,11035,1993,1995,709
11036,11036,1993,1998,720
11037,11037,1993,1996,899
11038,11038,1993,2012,4950
11040,11040,1993,2001,2051
11041,11041,1993,1996,885
11042,11042,1993,2002,2406
11043,11043,1993,2020,6945
11045,11045,1993,1997,1135
11046,11046,1993,1994,233
11048,11048,1993,2010,2418
11053,11053,1993,1994,133
11054,11054,1993,2004,2749
11055,11055,1993,2002,1958
11056,11056,1993,2014,5348
11057,11057,1993,1999,1571
11059,11059,1993,1994,28
11064,11064,1993,1998,1262
11065,11065,1993,1996,840
11066,11066,1993,1997,1062
11072,11072,1993,2000,1798
11077,11077,1993,2015,5612
